Seed_ID,Packet_ID,pedigree,DPI,repetition,isolate,inocMethod,isolateSpecies,agarType,SoilType,seedNum,block,germinated,standCount7,standCount14,escape,lesionPercent,rootLength,rootMass,notes
7,,B73,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,0,220.31,0.1553,
79,,B73,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,0,284.52,0.1431,
22,,B73,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,1,1,1,0,5,261.84,0.1681,
97,,B73,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,10,252.03,0.1564,
55,,B73,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,20,251.15,0.1376,
43,,B73,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,0,0,1,0,100,35,0.0073,
4,,CML103,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,0,264.69,0.3427,
25,,CML103,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,1,1,1,0,0,427.88,0.2213,
39,,CML103,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,0,0,1,0,0,355.66,0.1843,
63,,CML103,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,0,383.22,0.2642,
73,,CML103,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,5,330.46,0.2431,
99,,CML103,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,5,261.54,0.2252,
2,,CML277,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,0,372.05,0.1525,
19,,CML277,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,1,1,1,0,0,276.06,0.2053,
42,,CML277,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,1,0,0,270.12,0.1331,
76,,CML277,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,5,390.82,0.2075,
94,,CML277,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,5,247.62,0.0966,
59,,CML277,16,rep1,control,MockInoc,control,na,BM2,7,4,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
26,,CML333,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,1,1,1,0,0,456.91,0.2723,
40,,CML333,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,1,0,0,392.56,0.1582,
78,,CML333,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,0,365.18,0.1818,
62,,CML333,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,5,372.1,0.2124,
96,,CML333,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,5,349.53,0.1984,
8,,CML333,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,80,39.44,0.0003,
6,,H100,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,0,278.87,0.2295,
44,,H100,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,1,0,0,384.17,0.225,
77,,H100,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,0,294.1,0.1889,
60,,H100,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,5,330.01,0.1672,
92,,H100,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,5,296.54,0.1815,
24,,H100,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
5,,Il14H,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,0,290.65,0.1156,
37,,Il14H,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,1,0,5,297.54,0.0919,
81,,Il14H,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,5,264.84,0.16,
61,,Il14H,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,15,377.22,0.0801,
21,,Il14H,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,1,1,1,0,20,163.93,0.0683,
98,,Il14H,16,rep1,control,MockInoc,control,na,BM2,11,6,0,0,0,0,100,0,0,Either died early or never germinated. Seed rotten.
1,,Ms71,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,5,269.54,0.1811,
38,,Ms71,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,1,0,5,286.84,0.122,
58,,Ms71,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,10,231.83,0.1818,
91,,Ms71,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,10,260.84,0.143,
80,,Ms71,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,15,358.9,0.1302,
23,,Ms71,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,0,0,1,0,95,0,0,Only a coleoptile
75,,NC304,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,0,345.46,0.1182,
3,,NC304,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,5,307.67,0.155,
20,,NC304,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,1,1,1,0,5,376.76,0.2203,
45,,NC304,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,1,0,5,307.83,0.1905,
57,,NC304,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,10,205.25,0.1397,
95,,NC304,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,50,270.94,0.1779,
9,,Oh7B,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,0,357.05,0.1471,
41,,Oh7B,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,5,3,1,1,1,0,0,287.65,0.1838,
56,,Oh7B,16,rep1,control,MockInoc,control,na,BM2,7,4,1,1,1,0,5,383.76,0.2255,
27,,Oh7B,16,rep1,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,0,0,1,0,50,148.03,0.0125,
74,,Oh7B,16,rep1,control,MockInoc,control,na,BM2,9,5,1,1,1,0,75,212.11,0.0478,
93,,Oh7B,16,rep1,control,MockInoc,control,na,BM2,11,6,1,1,1,0,80,205.03,0.0455,
3,,B73,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,1,1,1,1,1,0,10,199.83,0.06,
20,,B73,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,3,2,1,1,1,0,0,183.4,0.1686,
49,,B73,14,rep2,17PR016B.1,GuuCornmeal,G. ultimum var. ultimum,na,BM2,6,3,1,1,1,0,0,176.85,0.1535,
68,,B73,14,rep2,control,MockInoc,control,na,BM2,8,4,1,1,1,0,0,190.14,0.0823,
90,,B73,14,rep2,control,MockInoc,control,na,BM2,10,5,1,1,1,0,10,179.53,0.0885,
